Company,Exchange:Ticker,Industry ,Country,Broad Group,Sub Group,Bottom up Beta for sector,Bottom up levered beta,ERP for Country,Cost of equity in US$,Total Default Spread for cost of debt (Company + Country),Pre-tax cost of debt in US $,After-tax cost of debt in US $,Cost of capital in US$,ROE - Cost of Equity,ROIC - Cost of Capital,Marketcapital,PV of lease debt,Total Debt,Total Debt incl leases (in US $),Firm Value (in US $),Cash,Enterprise Value (in US $),Cash/ Firm Value,Liquidity Ratio (Daily trading volume/Shrs outs),Book Debt to capital ratio,MDC,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,HiL0 Risk Measure (Hi- lo)/ (Hi+Lo),Interest coverage ratio,Current PE,Trailing PE,Forward PE,PEG,PBV,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Payout ratio,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,roe,Return on Capital (ROC or ROIC),npm,Pre-tax Operating Margin,Effective Tax Rate,% held by institutions,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income,Dividends + Buybacks,CRP,Country Marginal tax rate
Schaffner Holding AG (SWX:SAHN),SWX:SAHN,Electronics,Switzerland,Developed Europe,EU & Environs,1.0714,1.2817,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$187.80 ,$9.46 ,$33.60 ,$43.06 ,$230.86 ,$18.80 ,$212.06 ,8.14%,0,38.39%,18.65%,62.32%,22.93%,$296.91 ,0.96,27.75%,38.47%,0.14,7.38,27.02,27.02,14.07,NA,2.72,0.87,16.6,12.85,2.54,0.98,45.29%,1.68%,-19.30%,-7.64%,1.04%,1.33%,NA,8.65%,10.84%,13.99%,3.23%,5.93%,14.41%,53.85%,$6.95 ,$6.95 ,$10.40 ,$12.78 ,$215.50 ,$215.50 ,$16.50 ,$16.50 ,$10.94 ,$6.25 ,($1.40),$6.17 ,43.62%,$6.17 ,($4.07),$2.18 ,$64.10 ,$91.34 ,$69.10 ,$83.42 ,($3.15),0.43,0.58,0.5,0.06,0.12,$7.64 ,$2.90 ,($4.37),0.00%,21%
aleo solar AG (XTRA:AS1),XTRA:AS1,Semiconductor,Germany,Developed Europe,EU & Environs,1.339,1.6383,#REF!,#REF!,4.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$127.10 ,$0.00 ,$28.40 ,$28.40 ,$155.50 ,$44.10 ,$111.40 ,28.36%,0,40.69%,18.26%,68.60%,22.34%,$9.75 ,1.01,4.47%,150.00%,0.77,NA,NA,NA,NA,NA,3.07,0.34,NA,NA,4.33,0.3,NA,0.00%,NA,NA,-34.90%,-14.30%,NA,NA,-253.96%,-45.73%,-40.81%,-27.93%,0.00%,2.28%,($111.30),($86.60),($61.30),($59.27),$369.40 ,$212.20 ,($69.80),($81.90),($59.27),$96.10 ,($90.40),$5.93 ,NA,$25.20 ,($98.23),($2.13),$34.10 ,$129.60 ,$41.40 ,$25.70 ,$0.00 ,0.34,0.84,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
u-blox Holding AG (SWX:UBXN),SWX:UBXN,Semiconductor,Switzerland,Developed Europe,EU & Environs,1.339,1.3552,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$698.30 ,$7.61 ,$2.27 ,$9.88 ,$708.18 ,$38.50 ,$669.68 ,5.44%,0,5.45%,1.39%,5.76%,1.41%,$108.44 ,1.17,28.11%,45.54%,0.43,NA,37.14,32.33,24.53,NA,4.07,3.69,24.34,19.75,6.51,3.54,31.11%,0.96%,37.80%,30.40%,31.30%,20.40%,NA,19.80%,14.48%,20.22%,10.19%,12.99%,14.76%,28.00%,$18.80 ,$21.60 ,$27.10 ,$27.52 ,$189.10 ,$211.90 ,$33.90 ,$38.40 ,$23.46 ,$1.15 ,$0.29 ,$32.34 ,139.11%,($9.17),($12.18),($11.03),$149.20 ,$136.11 ,$171.40 ,$102.88 ,($6.72),0.51,0.74,0.5,NA,NA,NA,NA,($6.72),0.00%,21%
Beijer Electronics AB (OM:BELE),OM:BELE,Electronics,Sweden,Developed Europe,EU & Environs,1.0714,1.4321,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$200.50 ,$0.00 ,$85.80 ,$85.80 ,$286.30 ,$17.10 ,$269.20 ,5.97%,0,59.05%,29.97%,144.20%,42.79%,$10.51 ,0.83,17.03%,55.05%,0.13,5.45,26.14,24.66,15.55,0.88,3.37,0.95,15.72,12.76,2.1,1.28,45.26%,1.84%,-10.60%,-4.86%,4.84%,2.12%,29.70%,2.63%,13.64%,43.23%,3.87%,8.14%,21.33%,53.04%,$7.67 ,$8.13 ,$13.30 ,$17.12 ,$210.00 ,$210.20 ,$21.10 ,$19.50 ,$13.47 ,$8.36 ,$2.77 ,$19.32 ,163.99%,($8.62),($22.32),($13.96),$59.60 ,$39.60 ,$59.50 ,$128.20 ,($3.68),0.38,0.49,0.5,0.05,0.05,$12.06 ,$8.41 ,($3.68),0.00%,21%
F-Secure Oyj (HLSE:FSC1V),HLSE:FSC1V,Computer Software,Finland,Developed Europe,EU & Environs,1.0246,1.055,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$401.40 ,$18.57 ,$0.00 ,$18.57 ,$419.97 ,$21.50 ,$398.47 ,5.12%,0,16.76%,4.42%,20.14%,4.63%,$2.58 ,0.97,23.45%,50.85%,0.17,89.35,21.7,25.41,16.54,NA,4.35,1.94,9.99,9.27,6.33,1.92,79.75%,3.14%,-8.75%,-8.66%,6.81%,7.46%,-4.20%,0.53%,18.88%,62.48%,7.52%,18.98%,35.93%,38.41%,$18.50 ,$15.80 ,$36.90 ,$39.91 ,$207.20 ,$210.20 ,$43.00 ,$43.90 ,$25.57 ,$0.00 ,($1.05),$6.11 ,19.80%,$20.50 ,$10.74 ,$10.74 ,$83.70 ,$63.87 ,$92.20 ,$62.97 ,($12.60),0.48,0.5,0.5,0.05,0.05,$22.81 ,$17.68 ,($12.60),0.00%,21%
Anite plc (LSE:AIE),LSE:AIE,Computer Services,United Kingdom,Developed Europe,UK,0.8659,0.9193,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$468.10 ,$13.04 ,$28.60 ,$41.64 ,$509.74 ,$18.90 ,$490.84 ,3.71%,0,20.05%,8.17%,25.08%,8.89%,$1.64 ,0.67,14.14%,60.99%,0.38,39.84,15.55,24.9,15.92,2.22,2.82,2.27,16.24,9.26,5.6,2.38,45.00%,1.81%,153.00%,-21.80%,14.50%,7.12%,7.00%,3.57%,11.95%,53.29%,9.09%,14.62%,30.74%,110.31%,$30.10 ,$18.80 ,$30.20 ,$30.23 ,$206.20 ,$206.80 ,$53.00 ,$43.60 ,$20.94 ,($28.18),($2.96),$61.24 ,278.31%,($37.34),($11.30),($39.48),$157.30 ,$56.74 ,$166.00 ,$87.64 ,($8.46),0.35,0.31,0.5,0.12,0.24,$20.82 ,$4.00 ,($18.86),0.60%,30%
HiQ International AB (OM:HIQ),OM:HIQ,Computer Services,Sweden,Developed Europe,EU & Environs,0.8659,0.8959,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$325.40 ,$9.92 ,$4.38 ,$14.30 ,$339.70 ,$24.10 ,$315.60 ,7.09%,0,12.38%,4.21%,14.13%,4.39%,$6.17 ,0.92,19.49%,45.01%,0.12,47.03,15.5,17.98,16.9,NA,3.22,1.53,15.02,10.59,7.66,1.49,109.10%,6.07%,1.53%,-4.28%,7.32%,2.99%,NA,0.86%,18.26%,54.56%,8.76%,10.17%,21.26%,61.22%,$21.00 ,$18.10 ,$23.00 ,$21.02 ,$212.00 ,$206.60 ,$29.80 ,$24.80 ,$16.55 ,$1.03 ,$0.00 ,($1.36),-8.24%,$17.91 ,$18.43 ,$19.46 ,$99.10 ,$38.52 ,$101.20 ,$41.20 ,($19.75),0.35,0.68,0.5,0.04,0.04,$20.50 ,$14.90 ,($39.45),0.00%,21%
Datagroup AG (DB:D6H),DB:D6H,Computer Services,Germany,Developed Europe,EU & Environs,0.8659,1.4363,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$73.60 ,$0.00 ,$63.80 ,$63.80 ,$137.40 ,$16.90 ,$120.50 ,12.30%,0,69.42%,46.43%,227.05%,86.68%,$9.70 ,1.02,20.49%,56.11%,0.2,0.82,22.24,23.37,12.92,1.11,2.62,0.39,16.92,11.7,3.96,0.64,108.89%,4.66%,12.90%,117.00%,32.70%,25.80%,20.10%,7.92%,12.55%,22.04%,1.54%,3.47%,24.00%,2.81%,$3.31 ,$3.15 ,$2.71 ,$7.12 ,$188.50 ,$205.20 ,$10.30 ,$11.70 ,$5.41 ,($8.60),($3.10),($3.57),-123.33%,$12.08 ,$18.42 ,$9.82 ,$25.10 ,$32.30 ,$28.10 ,$30.40 ,($3.43),0.46,0.62,0.5,NA,NA,NA,NA,($3.43),0.00%,21%
Keyrus Soci¨¦t¨¦ Anonyme (ENXTPA:KEY),ENXTPA:KEY,Computer Services,France,Developed Europe,EU & Environs,0.8659,1.7904,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$24.90 ,$0.00 ,$45.90 ,$45.90 ,$70.80 ,$11.60 ,$59.20 ,16.38%,0,51.11%,64.83%,104.56%,184.34%,$1.50 ,1.19,17.89%,52.83%,0.21,7.49,10.42,9.92,NA,NA,0.57,0.12,9.77,7.64,2.2,0.29,0.00%,0.00%,-9.86%,NA,11.40%,6.72%,NA,NA,5.93%,43.60%,1.23%,2.97%,42.08%,NA,$2.39 ,$2.51 ,$6.06 ,$6.06 ,$202.20 ,$204.10 ,$7.75 ,$7.84 ,$3.51 ,($9.45),$0.00 ,$2.20 ,62.77%,$1.31 ,$9.76 ,$0.31 ,$42.30 ,$13.90 ,$43.90 ,$26.90 ,$0.00 ,0.38,1.04,0.5,0.06,0.11,$3.69 ,$1.33 ,($1.01),0.60%,21%
SQLi (ENXTPA:SQI),ENXTPA:SQI,Internet software and services,France,Developed Europe,EU & Environs,1.1045,1.3812,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$77.60 ,$25.68 ,$13.20 ,$38.88 ,$116.48 ,$24.70 ,$91.78 ,21.20%,0,32.22%,33.38%,47.53%,50.11%,$21.65 ,1.13,20.49%,52.09%,0.36,17.99,13.2,19.6,7.29,NA,0.95,0.37,5.89,7.4,2.44,0.44,42.31%,2.16%,NA,-1.32%,-1.73%,2.19%,NA,-0.73%,5.08%,29.67%,1.95%,7.69%,50.00%,11.36%,$5.88 ,$3.96 ,$11.10 ,$15.57 ,$208.50 ,$202.60 ,$12.40 ,$15.30 ,$7.79 ,$4.70 ,($5.62),$0.02 ,-71.96%,$13.39 ,$4.86 ,$9.56 ,$77.90 ,$52.48 ,$81.80 ,$37.58 ,($1.68),0.43,0.84,0.5,0.08,0.09,$5.83 ,$3.09 ,($2.86),0.60%,21%
Suss MicroTec AG (XTRA:SMHN),XTRA:SMHN,Semiconductor Equip,Germany,Developed Europe,EU & Environs,1.2318,1.3025,#REF!,#REF!,2.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$170.70 ,$4.41 ,$5.39 ,$9.80 ,$180.50 ,$13.30 ,$167.20 ,7.37%,0.01,5.90%,5.43%,6.27%,5.74%,$8.93 ,2.48,39.37%,69.22%,0.28,NA,14.23,NA,NA,0.46,1.09,0.79,NA,8.75,1.27,0.77,NA,0.00%,NA,NA,4.81%,0.95%,30.70%,-0.23%,-3.13%,-3.51%,-2.43%,-2.36%,0.00%,39.93%,$12.00 ,($4.92),($7.14),($4.77),$216.00 ,$202.40 ,$19.10 ,($2.64),($4.77),$12.90 ,($0.94),$0.35 ,NA,($4.18),($17.23),($4.33),$157.00 ,$135.81 ,$156.30 ,$132.00 ,$0.00 ,1.09,1.55,0.5,0.11,0.11,$6.13 ,($0.33),$0.00 ,0.00%,21%
Phoenix Solar Aktiengesellschaft (XTRA:PS4),XTRA:PS4,Semiconductor,Germany,Developed Europe,EU & Environs,1.339,3.0529,#REF!,#REF!,4.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$47.90 ,$6.31 ,$55.00 ,$61.31 ,$109.21 ,$9.80 ,$99.41 ,8.97%,0.01,80.87%,56.14%,422.82%,127.99%,$6.49 ,0.66,3.16%,150.00%,0.76,NA,NA,NA,NA,NA,3.3,0.23,NA,NA,1.52,0.48,NA,0.00%,NA,NA,-40.10%,-19.10%,NA,5.00%,-73.90%,-17.00%,-15.05%,-8.23%,0.00%,11.10%,($49.20),($30.30),($15.30),($16.56),$208.10 ,$201.30 ,($35.50),($12.10),($16.56),$4.59 ,($50.00),($2.02),NA,$35.46 ,$17.13 ,$21.72 ,$41.00 ,$97.45 ,$14.50 ,$65.61 ,$0.00 ,0.2,0.61,0.5,0.15,0.16,$0.67 ,($5.30),$0.00 ,0.00%,21%
Swarco Traffic Holding AG (DB:MTB),DB:MTB,Electronics,Germany,Developed Europe,EU & Environs,1.0714,1.3769,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$48.40 ,$0.00 ,$13.80 ,$13.80 ,$62.20 ,$1.28 ,$60.92 ,2.06%,0,32.62%,22.19%,48.42%,28.51%,$5.48 ,1.38,NA,NA,0.24,2.12,NA,NA,NA,NA,1.7,0.24,4.32,6.99,1.97,0.31,NA,0.00%,NA,NA,-3.88%,14.40%,NA,NA,-2.07%,35.15%,-0.32%,7.16%,0.00%,NA,($3.04),($0.64),$6.61 ,$14.11 ,$199.40 ,$197.10 ,$8.72 ,$9.94 ,$14.11 ,($1.86),$13.86 ,($0.98),91.26%,$1.23 ,($11.65),($13.51),$30.70 ,$40.14 ,$28.50 ,$30.92 ,$0.00 ,NA,0.54,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Linedata Services SA (ENXTPA:LIN),ENXTPA:LIN,Computer Software,France,Developed Europe,EU & Environs,1.0246,1.3107,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$238.50 ,$12.01 ,$97.70 ,$109.71 ,$348.21 ,$34.40 ,$313.81 ,9.88%,0,49.51%,31.51%,98.04%,46.00%,$31.32 ,0.51,3.16%,NA,0.32,13.46,11.93,10.79,10.58,2.09,2.13,1.26,8.5,7.16,11.33,1.65,24.65%,2.28%,15.20%,2.95%,2.73%,-2.47%,5.70%,9.63%,22.21%,121.35%,11.22%,18.73%,39.29%,39.40%,$20.00 ,$22.10 ,$39.30 ,$36.90 ,$189.90 ,$197.00 ,$43.80 ,$48.80 ,$22.40 ,($31.90),$0.00 ,$36.41 ,162.50%,($14.00),$17.60 ,($14.31),$99.50 ,$30.41 ,$111.90 ,$27.71 ,($5.45),-0.06,0.89,0.5,0.03,0.03,$25.24 ,$15.04 ,($7.26),0.60%,21%
Cicor Technologies Ltd. (SWX:CICN),SWX:CICN,Electronics,Switzerland,Developed Europe,EU & Environs,1.0714,1.5985,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$112.00 ,$9.40 ,$45.70 ,$55.10 ,$167.10 ,$15.70 ,$151.40 ,9.40%,0,30.09%,32.97%,43.05%,49.19%,$38.91 ,0.8,16.43%,45.80%,0.18,3.07,15.36,17.18,NA,NA,0.88,0.58,9.89,9.07,0.9,0.79,13.97%,0.81%,NA,-12.40%,3.36%,-2.60%,NA,NA,5.14%,9.73%,3.32%,7.80%,0.00%,9.02%,$7.29 ,$6.52 ,$8.99 ,$15.31 ,$192.30 ,$196.40 ,$16.70 ,$17.90 ,$15.31 ,($10.23),$1.60 ,$7.03 ,56.35%,$6.68 ,$8.13 ,($2.11),$126.90 ,$157.40 ,$128.00 ,$167.40 ,($0.91),0.3,0.6,0.5,0.09,0.13,$4.85 ,($0.92),($0.93),0.00%,21%
Wolfson Microelectronics plc (LSE:WLF),LSE:WLF,Semiconductor,United Kingdom,Developed Europe,UK,1.339,1.3522,#REF!,#REF!,2.40%,#REF!,#REF!,#REF!,#REF!,#REF!,$276.80 ,$2.72 ,$0.00 ,$2.72 ,$279.52 ,$21.70 ,$257.82 ,7.76%,0,2.05%,0.97%,2.09%,0.98%,$2.43 ,1.28,22.58%,66.42%,0.29,NA,NA,NA,69.43,NA,2.13,1.54,NA,NA,2.32,1.43,NA,0.00%,NA,NA,11.60%,-3.60%,-88.20%,7.90%,-6.12%,-4.82%,-4.40%,-3.18%,0.00%,85.71%,($6.08),($8.51),($7.83),($6.15),$179.70 ,$193.50 ,($3.15),($2.88),($6.15),$0.00 ,$8.55 ,($21.07),NA,$6.37 ,$4.01 ,$4.01 ,$139.10 ,$127.62 ,$130.10 ,$111.12 ,$0.00 ,0.6,0.73,0.5,0.11,0.11,$11.11 ,$7.69 ,$0.00 ,0.60%,30%
Data Modul AG (DB:DAM),DB:DAM,Electronics,Germany,Developed Europe,EU & Environs,1.0714,1.265,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$77.10 ,$0.00 ,$24.50 ,$24.50 ,$101.60 ,$9.96 ,$91.64 ,9.80%,0,30.43%,24.11%,43.75%,31.78%,$22.73 ,1.35,30.33%,60.33%,0.24,12.1,8.53,26.22,16.35,1.45,1.38,0.42,11.05,7.51,1.36,0.5,93.88%,3.58%,4.45%,-16.20%,7.61%,1.01%,5.90%,6.81%,5.49%,12.83%,1.54%,4.33%,43.13%,2.96%,$9.04 ,$2.94 ,$5.59 ,$8.29 ,$184.90 ,$191.50 ,$12.20 ,$7.15 ,$4.71 ,($0.93),$0.40 ,$3.32 ,78.83%,$1.00 ,$0.16 ,($0.78),$53.60 ,$64.61 ,$56.00 ,$67.27 ,($2.76),0.73,0.56,0.5,0.06,0.08,$7.77 ,$4.59 ,($3.23),0.00%,21%
Securidev SA (ENXTPA:SCDV),ENXTPA:SCDV,Electronics,France,Developed Europe,EU & Environs,1.0714,1.0963,#REF!,#REF!,1.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$112.50 ,$0.00 ,$4.28 ,$4.28 ,$116.78 ,$31.60 ,$85.18 ,27.06%,NA,4.16%,3.67%,4.34%,3.80%,$47.10 ,0.21,3.16%,58.50%,0.2,62.15,12.73,15.16,NA,NA,1.14,0.58,5.46,3.77,2.74,0.44,52.29%,3.45%,-5.50%,-14.70%,0.82%,-2.48%,NA,NA,7.68%,40.72%,3.88%,8.16%,38.83%,17.12%,$8.84 ,$7.42 ,$15.60 ,$15.60 ,$194.50 ,$191.10 ,$22.60 ,$23.10 ,$9.54 ,$4.73 ,($1.16),($1.44),-27.30%,$12.15 ,$5.30 ,$10.03 ,$96.60 ,$38.31 ,$98.60 ,$31.08 ,($3.88),0.07,0.18,0.5,0.04,0.06,$14.78 ,$8.51 ,($3.88),0.60%,21%
Solucom SA (ENXTPA:LCO),ENXTPA:LCO,Computer Services,France,Developed Europe,EU & Environs,0.8659,0.8983,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,$202.80 ,$6.77 ,$5.05 ,$11.82 ,$214.62 ,$16.80 ,$197.82 ,7.83%,0,13.32%,5.51%,15.37%,5.83%,$41.30 ,0.78,20.49%,43.43%,0.33,69.12,15.36,13.99,14.86,NA,2.64,1.21,8.93,8.99,8.45,1.18,14.48%,1.04%,25.10%,10.90%,8.14%,9.30%,NA,9.35%,23.97%,98.10%,7.88%,12.03%,35.71%,9.12%,$13.20 ,$14.50 ,$23.50 ,$22.15 ,$167.30 ,$184.10 ,$22.00 ,$23.60 ,$14.24 ,$0.00 ,$0.00 ,$6.76 ,47.47%,$7.48 ,$7.74 ,$7.74 ,$60.50 ,$22.58 ,$76.90 ,$23.42 ,($2.10),0.36,0.47,0.5,0.05,0.04,$11.44 ,$6.85 ,($2.10),0.60%,21%
Affecto Oyj (HLSE:AFE1V),HLSE:AFE1V,Computer Services,Finland,Developed Europe,EU & Environs,0.8659,1.1041,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$135.30 ,$12.59 ,$38.50 ,$51.09 ,$186.39 ,$20.60 ,$165.79 ,11.05%,0,36.16%,27.41%,56.64%,37.76%,$6.31 ,0.97,35.50%,42.61%,0.24,20.06,13.58,13.65,11.25,NA,1.5,0.77,8.79,9.11,7.61,0.94,47.02%,3.44%,NA,-3.96%,8.48%,-0.29%,NA,2.69%,12.07%,82.00%,5.42%,10.32%,27.15%,49.10%,$9.96 ,$9.91 ,$14.20 ,$18.85 ,$175.90 ,$182.70 ,$18.20 ,$18.70 ,$13.73 ,$5.41 ,$1.81 ,($2.43),-4.51%,$14.35 ,$5.12 ,$10.53 ,$82.10 ,$22.99 ,$90.20 ,$21.79 ,($4.66),0.61,0.25,0.5,NA,NA,NA,NA,($4.66),0.00%,21%
Bouvet ASA (OB:BOUVET),OB:BOUVET,Computer Services,Norway,Developed Europe,EU & Environs,0.8659,0.9119,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$146.40 ,$10.99 ,$0.00 ,$10.99 ,$157.39 ,$12.20 ,$145.19 ,7.75%,0,33.22%,6.98%,49.74%,7.51%,$14.50 ,0.03,3.16%,NA,0.22,162.64,14.7,13.94,13.3,NA,6.62,0.79,8.48,9.13,8.17,0.78,81.14%,5.82%,16.00%,3.52%,18.40%,14.80%,NA,7.54%,46.67%,79.55%,5.77%,9.40%,29.21%,43.41%,$9.96 ,$10.50 ,$14.80 ,$17.11 ,$185.10 ,$182.10 ,$15.90 ,$16.60 ,$12.11 ,$0.00 ,($2.13),$0.07 ,-16.99%,$14.17 ,$12.56 ,$12.56 ,$22.50 ,$21.51 ,$22.10 ,$17.78 ,($8.52),-0.05,0.15,0.5,0.06,0.05,$8.02 ,$6.15 ,($12.01),0.00%,21%
Valtech SA (ENXTPA:LTE),ENXTPA:LTE,Computer Services,France,Developed Europe,EU & Environs,0.8659,0.9508,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$130.10 ,$17.59 ,$7.92 ,$25.51 ,$155.61 ,$3.85 ,$151.76 ,2.47%,0,42.58%,16.39%,74.15%,19.61%,$6.13 ,NA,NA,NA,0.21,20.36,NA,1102.54,NA,NA,3.78,0.74,154.47,49.92,4.32,0.86,0.00%,0.00%,NA,-45.30%,23.80%,5.39%,NA,NA,0.35%,2.78%,0.06%,0.54%,50.00%,NA,($2.76),$0.12 ,$4.50 ,$0.98 ,$176.30 ,$182.00 ,$3.04 ,$7.39 ,$0.49 ,($5.89),$0.00 ,$2.42 ,492.24%,($1.93),$3.59 ,($2.30),$34.00 ,$35.37 ,$34.40 ,$35.16 ,$0.00 ,NA,NA,0.5,0.11,0.13,$1.54 ,($3.50),$0.00 ,0.60%,21%
Innelec Multim¨¦dia SA (ENXTPA:INN),ENXTPA:INN,Computer Services,France,Developed Europe,EU & Environs,0.8659,1.46,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$11.00 ,$0.00 ,$12.80 ,$12.80 ,$23.80 ,$5.49 ,$18.31 ,23.07%,0,38.79%,53.78%,63.37%,116.36%,$6.75 ,0.23,3.16%,NA,0.11,2.25,13.8,13.8,5.19,NA,0.54,0.06,5.17,7.21,0.71,0.1,64.99%,4.71%,-17.70%,-22.30%,-0.72%,-3.45%,NA,0.27%,3.87%,12.45%,0.44%,1.95%,41.04%,NA,$0.80 ,$0.80 ,$1.30 ,$3.54 ,$181.70 ,$181.70 ,$2.54 ,$2.54 ,$2.09 ,$1.96 ,$2.29 ,$2.01 ,205.77%,($2.21),($5.46),($3.50),$20.60 ,$28.44 ,$20.20 ,$25.91 ,($0.52),-0.06,0.47,0.5,0.06,0.05,$3.17 ,$1.91 ,($0.52),0.60%,21%
Xaar plc (LSE:XAR),LSE:XAR,Computers/Peripherals,United Kingdom,Developed Europe,UK,1.1128,1.121,#REF!,#REF!,2.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$1,378.40 ",$12.16 ,$0.48 ,$12.64 ,"$1,391.04 ",$56.80 ,"$1,334.24 ",4.08%,0,8.05%,0.91%,8.76%,0.92%,$18.55 ,0.97,13.42%,78.64%,0.63,588.64,67.24,32.66,25.62,1.92,9.55,9.82,25.57,36.96,13.47,9.51,10.59%,0.32%,127.60%,36.00%,38.80%,20.40%,35.00%,29.70%,42.12%,55.94%,23.41%,28.94%,19.14%,88.90%,$20.50 ,$42.20 ,$51.80 ,$52.18 ,$140.30 ,$180.30 ,$36.10 ,$62.60 ,$42.19 ,$1.12 ,($1.82),$13.20 ,26.96%,$30.82 ,$29.70 ,$30.82 ,$100.20 ,$93.28 ,$144.30 ,$99.05 ,($4.47),0.42,0.61,0.5,0.06,0.07,$11.32 ,$8.65 ,($4.47),0.60%,30%
SAES Getters SpA (BIT:SG),BIT:SG,Electronics,Italy,Developed Europe,EU & Environs,1.0714,1.278,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$209.40 ,$3.55 ,$77.20 ,$80.75 ,$290.15 ,$18.90 ,$271.25 ,6.51%,0,36.80%,27.83%,58.22%,38.56%,$9.65 ,1.19,30.33%,42.20%,0.1,6.32,47.59,NA,9.46,NA,1.51,1.12,23.69,9.69,1.35,1.44,NA,5.68%,NA,NA,0.58%,-3.67%,NA,7.61%,-0.41%,6.35%,-0.35%,6.37%,50.00%,10.65%,$4.40 ,($0.62),$8.85 ,$11.45 ,$187.80 ,$179.70 ,$28.00 ,$21.90 ,$5.72 ,$0.00 ,$0.00 ,$0.00 ,0.00%,$5.72 ,($0.62),($0.62),$149.70 ,$180.25 ,$138.70 ,$200.55 ,($11.90),0.51,0.77,0.5,0.08,0.11,$33.56 ,$15.05 ,($11.90),2.85%,21%
Micronic Mydata AB (publ) (OM:MICR),OM:MICR,Electronics,Sweden,Developed Europe,EU & Environs,1.0714,1.1785,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$189.10 ,$20.14 ,$0.06 ,$20.20 ,$209.30 ,$80.50 ,$128.80 ,38.46%,0,10.27%,9.65%,11.45%,10.68%,$1.93 ,0.56,6.32%,52.18%,0.19,272.87,NA,11.53,35.74,NA,1.07,0.91,4.13,5.37,1.11,0.62,0.00%,0.00%,NA,NA,6.11%,20.20%,NA,-6.01%,10.26%,30.34%,9.13%,17.36%,6.40%,31.30%,($6.75),$16.40 ,$35.20 ,$31.17 ,$207.90 ,$179.60 ,$24.00 ,$40.40 ,$29.18 ,$0.63 ,$12.42 ,$3.14 ,53.33%,$13.62 ,$0.21 ,$0.84 ,$159.90 ,$102.74 ,$176.40 ,$116.10 ,$0.00 ,0.13,0.58,0.5,0.12,0.12,($0.54),($4.77),$0.00 ,0.00%,21%
